**************************************************
Checking constraint violation of RightStance:
***************************************
Constraint: timeDuration 	Node: 1 
---------------------------------------
       Lower   Constraint        Upper
5.00000000E-01 9.95220731E-01 1.00000000E+00
***************************************
Constraint: intX 	Node: 2 
---------------------------------------
       Lower   Constraint        Upper
-1.00000000E-04 1.63852453E-14 1.00000000E-04
-1.00000000E-04 -1.38752995E-05 1.00000000E-04
-1.00000000E-04 -2.00597787E-06 1.00000000E-04
-1.00000000E-04 1.34560862E-05 1.00000000E-04
-1.00000000E-04 -2.46903188E-06 1.00000000E-04
-1.00000000E-04 4.34230595E-06 1.00000000E-04
-1.00000000E-04 5.58808932E-06 1.00000000E-04
-1.00000000E-04 -2.15266797E-08 1.00000000E-04
-1.00000000E-04 2.13852994E-06 1.00000000E-04
-1.00000000E-04 -2.86660865E-07 1.00000000E-04
-1.00000000E-04 4.12057135E-06 1.00000000E-04
-1.00000000E-04 2.78250503E-06 1.00000000E-04
-1.00000000E-04 -4.54087169E-06 1.00000000E-04
***************************************
Constraint: intX 	Node: 14 
---------------------------------------
       Lower   Constraint        Upper
-1.00000000E-04 3.21552908E-08 1.00000000E-04
-1.00000000E-04 2.10126181E-08 1.00000000E-04
-1.00000000E-04 -1.47205637E-07 1.00000000E-04
-1.00000000E-04 -1.31163260E-07 1.00000000E-04
-1.00000000E-04 1.10695484E-06 1.00000000E-04
-1.00000000E-04 -1.11465081E-08 1.00000000E-04
-1.00000000E-04 2.89518274E-14 1.00000000E-04
-1.00000000E-04 -3.54680806E-14 1.00000000E-04
-1.00000000E-04 6.56520507E-15 1.00000000E-04
-1.00000000E-04 4.99518861E-06 1.00000000E-04
-1.00000000E-04 2.27704865E-07 1.00000000E-04
-1.00000000E-04 -4.85828664E-06 1.00000000E-04
-1.00000000E-04 1.78832401E-06 1.00000000E-04
-1.00000000E-04 -3.84831362E-07 1.00000000E-04
-1.00000000E-04 -3.11316287E-06 1.00000000E-04
