========================================================
Phase: 1
========================================================
--------------------------------------------------------
Constraint: dynamics
--------------------------------------------------------
*************
Node: 1 
*************
          cl           yc           cu
0.00000000E+00 -2.00199151E-13 0.00000000E+00
0.00000000E+00 7.72518968E-14 0.00000000E+00
0.00000000E+00 5.49148404E-13 0.00000000E+00
0.00000000E+00 1.15822305E-13 0.00000000E+00
*************
Node: 2 
*************
          cl           yc           cu
0.00000000E+00 -5.94233864E-13 0.00000000E+00
0.00000000E+00 7.18728028E-13 0.00000000E+00
0.00000000E+00 -7.29638572E-13 0.00000000E+00
0.00000000E+00 8.72812933E-12 0.00000000E+00
0.00000000E+00 3.80404296E-12 0.00000000E+00
0.00000000E+00 1.49433569E-12 0.00000000E+00
0.00000000E+00 -3.08845252E-13 0.00000000E+00
0.00000000E+00 1.97403237E-13 0.00000000E+00
0.00000000E+00 -6.86620012E-13 0.00000000E+00
0.00000000E+00 2.37249456E-13 0.00000000E+00
0.00000000E+00 3.74080107E-14 0.00000000E+00
0.00000000E+00 2.16049422E-13 0.00000000E+00
0.00000000E+00 4.72644628E-13 0.00000000E+00
0.00000000E+00 3.44375041E-14 0.00000000E+00
*************
Node: 3 
*************
          cl           yc           cu
0.00000000E+00 -2.18981734E-15 0.00000000E+00
0.00000000E+00 4.84205124E-13 0.00000000E+00
0.00000000E+00 -5.39124301E-13 0.00000000E+00
0.00000000E+00 4.23736046E-12 0.00000000E+00
0.00000000E+00 -2.30020356E-13 0.00000000E+00
0.00000000E+00 6.87912401E-13 0.00000000E+00
0.00000000E+00 7.03939879E-14 0.00000000E+00
0.00000000E+00 -2.49681840E-13 0.00000000E+00
